Name,Link,Size,Extension,Bookmark,Category,MD5,SHA1,Deleted,Carved,Accessed,Modified,Created,Path,TrackId
RMActivate.exe,,577536,exe,,Programs and Libraries,CC4DA60F62D2EE93449663B9269A7264,62B238871D9B16A17E32C225DA90D82C905C6E85,false,false,Sat Jul 24 16:38:01 BRT 2021,Sat Jun 05 01:34:22 BRT 2021,Sat Jul 24 16:38:01 BRT 2021,/SRVBSAWDC003-flat.vmdk/vol_vol3/Windows/WinSxS/amd64_microsoft-windows-s..sor-native-whitebox_31bf3856ad364e35_10.0.14393.4467_none_169743a08c1fbf8e/RMActivate.exe,579972662416d2ee2ae142ed5c63abcf
SystemSettingsRemoveDevice.exe,,4070,exe,,Other files,5FE35E4303B57245FB4E80D208F962DF,1C890B035575AEEF1C753D753FB28F8B99DABDCE,false,false,Fri Mar 26 23:31:15 BRT 2021,Fri Mar 26 23:31:15 BRT 2021,Sat Jul 16 10:18:55 BRT 2016,/SRVBSAWDC003-flat.vmdk/vol_vol3/Windows/WinSxS/amd64_microsoft-windows-s..ttings-removedevice_31bf3856ad364e35_10.0.14393.0_none_e0d5999e0c1571b6/SystemSettingsRemoveDevice.exe,62a9999635672ee7e1f3de0ea206ac67
SystemSettingsRemoveDevice.exe,,27808,exe,,Programs and Libraries,058589B88F0209F504AA6F770EFAE703,D8D9520545059393C17A91DBA42F4CE721B0BCEE,false,false,Fri Mar 26 16:05:56 BRT 2021,Thu Jan 07 20:21:24 BRT 2021,Fri Mar 26 16:05:56 BRT 2021,/SRVBSAWDC003-flat.vmdk/vol_vol3/Windows/WinSxS/amd64_microsoft-windows-s..ttings-removedevice_31bf3856ad364e35_10.0.14393.4169_none_292344944ff24e62/SystemSettingsRemoveDevice.exe,cdf34b3e5c077b08028cb235d5e79f02
wscript.exe,,10086,exe,,Other files,006324F69ADD0EC255D465D5272EDA29,A2BEA53BBA98B8F0D64DE8DA35E9BFE43F1453B0,false,false,Wed Dec 22 12:37:55 BRT 2021,Wed Dec 22 12:37:55 BRT 2021,Sat Jul 16 10:18:54 BRT 2016,/SRVBSAWDC003-flat.vmdk/vol_vol3/Windows/WinSxS/amd64_microsoft-windows-scripting_31bf3856ad364e35_10.0.14393.0_none_75dcbe91170c95e2/wscript.exe,2f65708c0c5a919cf8936b8b0607ad8e
cscript.exe,,15261,exe,,Other files,9359544C033D45531C3C172F8B4600A3,7EC8A5A39B9A878F9E648E699BBC1044D07F1E1A,false,false,Wed Dec 22 12:37:55 BRT 2021,Wed Dec 22 12:37:55 BRT 2021,Sat Jul 16 10:18:54 BRT 2016,/SRVBSAWDC003-flat.vmdk/vol_vol3/Windows/WinSxS/amd64_microsoft-windows-scripting_31bf3856ad364e35_10.0.14393.0_none_75dcbe91170c95e2/cscript.exe,9466ee880e9bf01b600ecf52529be103
cscript.exe,,163328,exe,,Programs and Libraries,E1DD134E19E058147D1A35477289C18E,B01AD73F2569BCAAE1ECF1DFF8952FE1D3A8360C,false,false,Thu Sep 16 10:57:39 BRT 2021,Sat Sep 11 22:56:10 BRT 2021,Thu Sep 16 10:57:39 BRT 2021,/SRVBSAWDC003-flat.vmdk/vol_vol3/Windows/WinSxS/amd64_microsoft-windows-scripting_31bf3856ad364e35_10.0.14393.4651_none_bdf40fe15b1217e4/cscript.exe,1139a7d8236bbda720aea95cbcc328ba
wscript.exe,,165376,exe,,Programs and Libraries,95B2CC3A306C4C1059A53B660096F0A5,8F2266EF7FB4256CDF3056ADEE57C0642D5F074A,false,false,Thu Sep 16 10:57:39 BRT 2021,Sat Sep 11 22:55:58 BRT 2021,Thu Sep 16 10:57:39 BRT 2021,/SRVBSAWDC003-flat.vmdk/vol_vol3/Windows/WinSxS/amd64_microsoft-windows-scripting_31bf3856ad364e35_10.0.14393.4651_none_bdf40fe15b1217e4/wscript.exe,8541b6033054622d4adc7051c3c06f79
BdeUISrv.exe,,23432,exe,,Other files,F289ABE1BDB32243D7D981BC147EEBFA,CB1A3F148E9F6C9B551C71756E92983450159A7D,false,false,Fri Mar 26 23:31:56 BRT 2021,Fri Mar 26 23:31:56 BRT 2021,Fri Mar 26 16:07:06 BRT 2021,/SRVBSAWDC003-flat.vmdk/vol_vol3/Windows/WinSxS/amd64_microsoft-windows-securestartup-service_31bf3856ad364e35_10.0.14393.4169_none_da67ca7dffa70657/BdeUISrv.exe,c7a941217f0cbf3e11ce47c4440e9f00
SppExtComObj.Exe,,656896,exe,,Programs and Libraries,FD1EF1039760FEB9A1A9A45657C682C7,8BA98A733F6EEB704B7EE8D05712DD90389E1413,false,false,Tue Oct 02 14:59:53 BRT 2018,Sat Apr 28 01:32:02 BRT 2018,Tue Oct 02 14:59:53 BRT 2018,/SRVBSAWDC003-flat.vmdk/vol_vol3/Windows/WinSxS/amd64_microsoft-windows-security-spp-extcom_31bf3856ad364e35_10.0.14393.2273_none_8091fea79aabcab8/SppExtComObj.Exe,784b47b46a522a07480a94822b1c7395
LsaIso.exe,,32162,exe,,Other files,A0D5C82899F272F06E6C2A971D55780F,4C99F0BC5852B656850DD046EDC526FC7E9705F0,false,false,Fri Jun 21 19:02:31 BRT 2024,Fri Jun 21 19:02:31 BRT 2024,Sat Jul 16 10:18:20 BRT 2016,/SRVBSAWDC003-flat.vmdk/vol_vol3/Windows/WinSxS/amd64_microsoft-windows-security-lsatrustlet_31bf3856ad364e35_10.0.14393.0_none_120dd578956c5017/LsaIso.exe,44ab8ba413b091bd005ba0cde2250987
